pickup_zone,hour,order_count,avg_response_time_min,p50_response_time_min,p90_response_time_min,slow_response_rate
Far Rockaway,8,11,6.546969696969697,5.133333333333334,10.233333333333333,0.18181818181818182
Far Rockaway,9,5,2.94,3.4,3.7133333333333334,0.0
Far Rockaway,10,5,3.8166666666666664,3.3,5.046666666666667,0.0
Far Rockaway,11,5,4.0,4.566666666666666,5.183333333333334,0.0
Far Rockaway,12,6,7.094444444444444,6.683333333333334,12.041666666666668,0.16666666666666666
Far Rockaway,13,2,9.916666666666666,9.916666666666666,15.636666666666667,0.5
Far Rockaway,14,4,6.2,6.575,9.646666666666667,0.25
Far Rockaway,15,4,2.5458333333333334,2.3833333333333333,4.0616666666666665,0.0
Far Rockaway,16,4,2.8666666666666667,2.55,3.8750000000000004,0.0
Far Rockaway,17,5,4.1066666666666665,2.45,7.74,0.2
Far Rockaway,18,2,4.7,4.7,5.126666666666667,0.0
Far Rockaway,19,9,6.449999999999999,5.083333333333333,12.416666666666666,0.3333333333333333
Far Rockaway,20,4,6.379166666666666,5.85,11.8,0.25
Far Rockaway,21,5,4.32,2.9833333333333334,7.073333333333333,0.0
Far Rockaway,22,4,8.916666666666668,7.408333333333333,15.333333333333336,0.25
Far Rockaway,23,8,9.70625,8.899999999999999,17.568333333333335,0.25
Financial District North,0,8,5.872916666666667,4.9,10.651666666666666,0.125
Financial District North,1,4,4.616666666666666,3.1166666666666667,8.188333333333334,0.25
Financial District North,3,2,4.866666666666667,4.866666666666667,8.666666666666668,0.0
Financial District North,4,1,5.3,5.3,5.3,0.0
Financial District North,5,2,4.633333333333333,4.633333333333333,4.966666666666667,0.0
Financial District North,6,7,4.004761904761905,1.8166666666666667,9.126666666666669,0.14285714285714285
Financial District North,7,8,2.2333333333333334,2.041666666666667,3.8266666666666667,0.0
Financial District North,8,13,1.817948717948718,1.8,3.460000000000001,0.0
Financial District North,9,12,3.352777777777778,2.716666666666667,6.050000000000001,0.08333333333333333
Financial District North,10,19,2.1543859649122807,2.216666666666667,3.7166666666666663,0.0
Financial District North,11,17,3.1627450980392156,2.8666666666666667,6.380000000000001,0.0
Financial District North,12,6,2.775,1.1916666666666667,6.175,0.0
Financial District North,13,6,2.772222222222222,3.066666666666667,3.275,0.0
Financial District North,14,12,2.283333333333333,1.9916666666666667,4.716666666666667,0.0
Financial District North,15,13,2.2705128205128204,1.7833333333333334,4.096666666666668,0.0
Financial District North,16,12,2.415277777777778,2.191666666666667,3.925,0.0
Financial District North,17,12,6.045833333333333,4.608333333333333,10.973333333333333,0.16666666666666666
Financial District North,18,13,4.8448717948717945,4.45,8.120000000000001,0.07692307692307693
Financial District North,19,15,4.676666666666667,4.633333333333334,8.636666666666665,0.13333333333333333
Financial District North,20,13,3.578205128205129,2.6,6.536666666666667,0.0
Financial District North,21,9,2.4796296296296294,1.85,4.196666666666667,0.0
Financial District North,22,12,2.9875000000000003,2.8083333333333336,4.648333333333333,0.0
Financial District North,23,10,2.33,1.7916666666666665,3.6166666666666654,0.0
Financial District South,0,8,4.058333333333334,1.6583333333333332,9.001666666666665,0.125
Financial District South,2,2,9.766666666666667,9.766666666666667,14.700000000000001,0.5
Financial District South,3,2,3.0666666666666664,3.0666666666666664,3.7866666666666666,0.0
Financial District South,5,1,4.666666666666667,4.666666666666667,4.666666666666667,0.0
Financial District South,6,2,4.558333333333333,4.558333333333333,8.018333333333333,0.0
Financial District South,7,1,3.55,3.55,3.55,0.0
Financial District South,8,3,3.1611111111111114,2.95,5.096666666666668,0.0
Financial District South,9,2,1.9666666666666668,1.9666666666666668,2.9,0.0
Financial District South,11,1,1.75,1.75,1.75,0.0
Financial District South,12,6,2.6527777777777777,2.1083333333333334,4.308333333333334,0.0
Financial District South,13,4,3.033333333333333,2.725,6.125,0.0
Financial District South,14,4,2.8958333333333335,3.2750000000000004,4.316666666666666,0.0
Financial District South,15,3,3.5888888888888886,0.7333333333333333,7.7333333333333325,0.0
Financial District South,16,5,2.916666666666667,2.1166666666666667,5.546666666666667,0.0
Financial District South,17,7,3.2095238095238097,3.25,5.4366666666666665,0.0
Financial District South,18,4,5.208333333333334,3.2666666666666666,9.263333333333335,0.25
Financial District South,19,3,3.538888888888889,3.2666666666666666,4.413333333333334,0.0
